Incumbent 0
party,timeslot,party_size,seated
6,2,6,0
7,2,4,0
8,2,4,0
9,2,3,0
10,2,3,0
11,2,3,0
Timeslot 4
1,3,7,1
10,3,2,1
13,3,2,1
9,3,4,1
12,3,2,1
0,3,8,0
3,3,8,0
2,3,7,0
4,3,7,0
5,3,8,0
6,3,5,0
7,3,5,0
8,3,3,0
11,3,2,0
Timeslot 5
0,4,8,0
1,4,8,1
2,4,7,0
3,4,5,1
4,4,6,1
5,4,6,1
6,4,6,0
7,4,6,0
8,4,6,0
9,4,3,0
10,4,4,0
11,4,4,0
12,4,2,1
13,4,2,0
14,4,2,1
Timeslot 6
2,5,8,1
3,5,7,1
4,5,7,1
11,5,2,1
7,5,6,1
1,5,7,0
0,5,7,0
5,5,7,0
6,5,6,0
8,5,4,0
9,5,3,0
10,5,3,0
12,5,2,0
13,5,2,0
14,5,2,0
Timeslot 7
0,6,7,1
1,6,7,1
2,6,7,1
3,6,7,1
4,6,5,1
8,6,3,1
5,6,6,0
6,6,6,0
7,6,5,0
9,6,3,0
10,6,3,0
Objective Function value: 1121



Incumbent 6
party,timeslot,party_size,seated
Timeslot 1
0,0,8,1
1,0,7,0
2,0,8,1
3,0,5,1
4,0,6,0
9,0,4,1
5,0,6,1
6,0,4,0
7,0,4,0
8,0,4,1
Timeslot 2
1,1,7,1
2,1,7,1
3,1,6,0
4,1,5,0
5,1,5,0
7,1,6,0
0,1,7,0
6,1,5,1
8,1,5,0
9,1,6,0
10,1,4,1
11,1,2,1
Timeslot 3
0,2,7,1
1,2,7,1
2,2,7,1
3,2,8,0
4,2,8,1
5,2,5,1
6,2,6,0
7,2,4,0
8,2,4,0
9,2,3,0
10,2,3,0
11,2,3,0
Timeslot 4
1,3,7,1
10,3,2,1
13,3,2,1
9,3,4,1
12,3,2,1
0,3,8,0
3,3,8,0
2,3,7,0
4,3,7,0
5,3,8,0
6,3,5,0
7,3,5,0
8,3,3,0
11,3,2,0
Timeslot 5
0,4,8,0
1,4,8,1
2,4,7,0
3,4,5,1
4,4,6,1
5,4,6,1
6,4,6,0
7,4,6,0
8,4,6,0
9,4,3,0
10,4,4,0
11,4,4,0
12,4,2,1
13,4,2,0
14,4,2,1
Timeslot 6
2,5,8,1
3,5,7,1
4,5,7,1
11,5,2,1
7,5,6,1
1,5,7,0
0,5,7,0
5,5,7,0
6,5,6,0
8,5,4,0
9,5,3,0
10,5,3,0
12,5,2,0
13,5,2,0
14,5,2,0
Timeslot 7
0,6,7,1
1,6,7,1
2,6,7,1
3,6,7,1
4,6,5,1
8,6,3,1
5,6,6,0
6,6,6,0
7,6,5,0
9,6,3,0
10,6,3,0
Objective Function value: 1001



Incumbent 7
party,timeslot,party_size,seated
Timeslot 1
0,0,8,1
1,0,7,0
2,0,8,1
3,0,5,1
9,0,4,1
8,0,4,1
4,0,6,0
5,0,6,1
6,0,4,0
7,0,4,0
Timeslot 2
1,1,7,1
2,1,7,1
4,1,5,0
6,1,5,1
10,1,4,1
3,1,6,0
7,1,6,0
5,1,5,0
0,1,7,0
8,1,5,0
9,1,6,0
11,1,2,1
Timeslot 3
0,2,7,1
1,2,7,1
2,2,7,1
4,2,8,1
5,2,5,1
3,2,8,0
6,2,6,0
7,2,4,0
8,2,4,0
9,2,3,0
10,2,3,0
11,2,3,0
Timeslot 4
1,3,7,1
10,3,2,1
13,3,2,1
9,3,4,1
12,3,2,1
0,3,8,0
3,3,8,0
2,3,7,0
4,3,7,0
5,3,8,0
6,3,5,0
7,3,5,0
8,3,3,0
11,3,2,0
Timeslot 5
1,4,8,1
3,4,5,1
4,4,6,1
5,4,6,1
14,4,2,1
12,4,2,1
0,4,8,0
2,4,7,0
6,4,6,0
7,4,6,0
8,4,6,0
9,4,3,0
10,4,4,0
11,4,4,0
13,4,2,0
Timeslot 6
2,5,8,1
3,5,7,1
4,5,7,1
11,5,2,1
7,5,6,1
1,5,7,0
0,5,7,0
5,5,7,0
6,5,6,0
8,5,4,0
9,5,3,0
10,5,3,0
12,5,2,0
13,5,2,0
14,5,2,0
Timeslot 7
0,6,7,1
1,6,7,1
2,6,7,1
3,6,7,1
4,6,5,1
8,6,3,1
5,6,6,0
6,6,6,0
7,6,5,0
9,6,3,0
10,6,3,0
Objective Function value: 1071



Incumbent 8
party,timeslot,party_size,seated
Timeslot 1
0,0,8,1
2,0,8,1
3,0,5,1
9,0,4,1
8,0,4,1
5,0,6,1
1,0,7,0
4,0,6,0
6,0,4,0
7,0,4,0
Timeslot 2
1,1,7,1
2,1,7,1
6,1,5,1
10,1,4,1
11,1,2,1
4,1,5,0
3,1,6,0
7,1,6,0
5,1,5,0
0,1,7,0
8,1,5,0
9,1,6,0
Timeslot 3
0,2,7,1
1,2,7,1
2,2,7,1
4,2,8,1
5,2,5,1
3,2,8,0
6,2,6,0
7,2,4,0
8,2,4,0
9,2,3,0
10,2,3,0
11,2,3,0
Timeslot 4
1,3,7,1
10,3,2,1
13,3,2,1
9,3,4,1
12,3,2,1
0,3,8,0
3,3,8,0
2,3,7,0
4,3,7,0
5,3,8,0
6,3,5,0
7,3,5,0
8,3,3,0
11,3,2,0
Timeslot 5
1,4,8,1
3,4,5,1
4,4,6,1
5,4,6,1
14,4,2,1
12,4,2,1
0,4,8,0
2,4,7,0
6,4,6,0
7,4,6,0
8,4,6,0
9,4,3,0
10,4,4,0
11,4,4,0
13,4,2,0
Timeslot 6
2,5,8,1
3,5,7,1
4,5,7,1
11,5,2,1
7,5,6,1
1,5,7,0
0,5,7,0
5,5,7,0
6,5,6,0
8,5,4,0
9,5,3,0
10,5,3,0
12,5,2,0
13,5,2,0
14,5,2,0
Timeslot 7
0,6,7,1
1,6,7,1
2,6,7,1
3,6,7,1
4,6,5,1
8,6,3,1
5,6,6,0
6,6,6,0
7,6,5,0
9,6,3,0
10,6,3,0
Objective Function value: 1158



