Incumbent 0
party,timeslot,party_size,seated
2,5,8,1
3,5,5,1
4,5,5,1
5,5,5,1
12,5,2,1
1,5,8,0
6,5,6,0
7,5,5,0
8,5,5,0
9,5,5,0
10,5,3,0
11,5,4,0
13,5,2,0
Timeslot 7
0,6,7,1
1,6,8,1
2,6,6,1
5,6,3,1
6,6,4,1
4,6,5,0
3,6,6,0
7,6,3,0
8,6,2,0
9,6,2,0
Objective Function value: 1712



Incumbent 5
party,timeslot,party_size,seated
Timeslot 1
0,0,7,1
2,0,6,1
3,0,6,1
5,0,2,0
6,0,2,0
7,0,2,1
4,0,3,1
1,0,6,1
Timeslot 2
2,1,5,1
3,1,5,1
4,1,6,1
7,1,3,1
6,1,3,1
8,1,4,1
1,1,7,0
5,1,6,0
0,1,8,0
9,1,3,0
Timeslot 3
1,2,8,1
2,2,8,1
4,2,6,1
10,2,2,1
7,2,5,1
11,2,2,1
3,2,6,0
0,2,7,0
5,2,6,0
6,2,6,0
8,2,3,0
9,2,4,0
Timeslot 4
1,3,8,1
3,3,7,1
4,3,7,1
14,3,2,1
10,3,3,1
11,3,3,1
0,3,7,0
2,3,8,0
5,3,8,0
6,3,5,0
7,3,5,0
8,3,5,0
9,3,4,0
12,3,3,0
13,3,3,0
15,3,2,0
Timeslot 5
0,4,8,1
1,4,7,1
13,4,2,1
11,4,4,1
6,4,5,1
4,4,8,0
3,4,7,0
2,4,7,0
5,4,7,0
7,4,5,0
8,4,4,0
9,4,3,0
10,4,4,0
12,4,4,0
Timeslot 6
0,5,8,1
2,5,8,1
3,5,5,1
4,5,5,1
5,5,5,1
12,5,2,1
1,5,8,0
6,5,6,0
7,5,5,0
8,5,5,0
9,5,5,0
10,5,3,0
11,5,4,0
13,5,2,0
Timeslot 7
0,6,7,1
1,6,8,1
2,6,6,1
5,6,3,1
6,6,4,1
4,6,5,0
3,6,6,0
7,6,3,0
8,6,2,0
9,6,2,0
Objective Function value: 1352



Incumbent 6
party,timeslot,party_size,seated
Timeslot 1
0,0,7,1
2,0,6,1
6,0,2,0
7,0,2,1
4,0,3,1
1,0,6,1
3,0,6,1
5,0,2,0
Timeslot 2
2,1,5,1
3,1,5,1
4,1,6,1
7,1,3,1
6,1,3,1
8,1,4,1
1,1,7,0
5,1,6,0
0,1,8,0
9,1,3,0
Timeslot 3
1,2,8,1
2,2,8,1
4,2,6,1
10,2,2,1
7,2,5,1
11,2,2,1
3,2,6,0
0,2,7,0
5,2,6,0
6,2,6,0
8,2,3,0
9,2,4,0
Timeslot 4
1,3,8,1
3,3,7,1
4,3,7,1
14,3,2,1
10,3,3,1
11,3,3,1
0,3,7,0
2,3,8,0
5,3,8,0
6,3,5,0
7,3,5,0
8,3,5,0
9,3,4,0
12,3,3,0
13,3,3,0
15,3,2,0
Timeslot 5
0,4,8,1
1,4,7,1
13,4,2,1
11,4,4,1
6,4,5,1
4,4,8,0
3,4,7,0
2,4,7,0
5,4,7,0
7,4,5,0
8,4,4,0
9,4,3,0
10,4,4,0
12,4,4,0
Timeslot 6
0,5,8,1
2,5,8,1
3,5,5,1
4,5,5,1
5,5,5,1
12,5,2,1
1,5,8,0
6,5,6,0
7,5,5,0
8,5,5,0
9,5,5,0
10,5,3,0
11,5,4,0
13,5,2,0
Timeslot 7
0,6,7,1
1,6,8,1
2,6,6,1
5,6,3,1
6,6,4,1
4,6,5,0
3,6,6,0
7,6,3,0
8,6,2,0
9,6,2,0
Objective Function value: 1642



Incumbent 7
party,timeslot,party_size,seated
Timeslot 1
0,0,7,1
2,0,6,1
7,0,2,1
4,0,3,1
1,0,6,1
3,0,6,1
6,0,2,0
5,0,2,0
Timeslot 2
2,1,5,1
3,1,5,1
4,1,6,1
7,1,3,1
6,1,3,1
8,1,4,1
1,1,7,0
5,1,6,0
0,1,8,0
9,1,3,0
Timeslot 3
1,2,8,1
2,2,8,1
4,2,6,1
10,2,2,1
7,2,5,1
11,2,2,1
3,2,6,0
0,2,7,0
5,2,6,0
6,2,6,0
8,2,3,0
9,2,4,0
Timeslot 4
1,3,8,1
3,3,7,1
4,3,7,1
14,3,2,1
10,3,3,1
11,3,3,1
0,3,7,0
2,3,8,0
5,3,8,0
6,3,5,0
7,3,5,0
8,3,5,0
9,3,4,0
12,3,3,0
13,3,3,0
15,3,2,0
Timeslot 5
0,4,8,1
1,4,7,1
13,4,2,1
11,4,4,1
6,4,5,1
4,4,8,0
3,4,7,0
2,4,7,0
5,4,7,0
7,4,5,0
8,4,4,0
9,4,3,0
10,4,4,0
12,4,4,0
Timeslot 6
0,5,8,1
2,5,8,1
3,5,5,1
4,5,5,1
5,5,5,1
12,5,2,1
1,5,8,0
6,5,6,0
7,5,5,0
8,5,5,0
9,5,5,0
10,5,3,0
11,5,4,0
13,5,2,0
Timeslot 7
0,6,7,1
1,6,8,1
2,6,6,1
5,6,3,1
6,6,4,1
4,6,5,0
3,6,6,0
7,6,3,0
8,6,2,0
9,6,2,0
Objective Function value: 1422



