Incumbent 0
party,timeslot,party_size,seated
Timeslot 1
5,6,4,1
6,6,4,1
7,6,2,0
8,6,2,1
9,6,2,0
Objective Function value: 1392



Incumbent 4
party,timeslot,party_size,seated
Timeslot 1
0,0,7,0
1,0,7,0
2,0,5,1
3,0,5,0
4,0,5,1
9,0,4,0
5,0,5,0
6,0,3,0
7,0,4,1
8,0,3,1
Timeslot 2
0,1,7,1
1,1,8,1
4,1,5,1
5,1,5,1
7,1,4,1
3,1,5,0
2,1,5,0
6,1,6,0
8,1,4,0
9,1,3,0
10,1,2,0
Timeslot 3
0,2,8,1
1,2,7,1
2,2,7,0
3,2,8,1
4,2,7,1
10,2,2,1
5,2,6,0
6,2,6,0
7,2,5,0
8,2,3,0
9,2,4,1
11,2,2,0
12,2,2,0
Timeslot 4
0,3,8,1
1,3,8,0
2,3,8,1
3,3,5,0
4,3,5,1
5,3,5,1
6,3,5,1
7,3,6,0
8,3,5,0
9,3,5,0
10,3,6,0
11,3,4,0
12,3,3,0
13,3,4,1
14,3,4,0
Timeslot 5
0,4,8,1
1,4,8,1
2,4,7,0
3,4,7,1
4,4,7,0
15,4,2,1
5,4,5,0
6,4,5,0
7,4,5,0
8,4,6,0
9,4,5,0
10,4,6,0
11,4,5,1
12,4,5,0
13,4,6,0
14,4,4,1
Timeslot 6
0,5,7,1
1,5,7,0
2,5,7,0
3,5,8,0
4,5,7,1
13,5,2,1
5,5,8,0
6,5,8,0
7,5,6,1
8,5,5,0
9,5,5,1
10,5,5,0
11,5,3,0
12,5,3,0
14,5,2,0
Timeslot 7
0,6,7,1
1,6,8,1
2,6,6,1
3,6,3,0
4,6,4,0
5,6,4,1
6,6,4,1
7,6,2,0
8,6,2,1
9,6,2,0
Objective Function value: 1421



Incumbent 5
party,timeslot,party_size,seated
Timeslot 1
0,0,7,0
1,0,7,0
2,0,5,1
3,0,5,0
4,0,5,1
9,0,4,0
5,0,5,0
6,0,3,0
7,0,4,1
8,0,3,1
Timeslot 2
0,1,7,1
1,1,8,1
4,1,5,1
5,1,5,1
7,1,4,1
3,1,5,0
2,1,5,0
6,1,6,0
8,1,4,0
9,1,3,0
10,1,2,0
Timeslot 3
0,2,8,1
1,2,7,1
2,2,7,0
3,2,8,1
4,2,7,1
10,2,2,1
5,2,6,0
6,2,6,0
7,2,5,0
8,2,3,0
9,2,4,1
11,2,2,0
12,2,2,0
Timeslot 4
0,3,8,1
1,3,8,0
2,3,8,1
3,3,5,0
4,3,5,1
5,3,5,1
6,3,5,1
7,3,6,0
8,3,5,0
9,3,5,0
10,3,6,0
11,3,4,0
12,3,3,0
13,3,4,1
14,3,4,0
Timeslot 5
0,4,8,1
1,4,8,1
2,4,7,0
3,4,7,1
4,4,7,0
15,4,2,1
5,4,5,0
6,4,5,0
7,4,5,0
8,4,6,0
9,4,5,0
10,4,6,0
11,4,5,1
12,4,5,0
13,4,6,0
14,4,4,1
Timeslot 6
0,5,7,1
2,5,7,0
3,5,8,0
4,5,7,1
13,5,2,1
7,5,6,1
1,5,7,0
5,5,8,0
6,5,8,0
8,5,5,0
9,5,5,1
10,5,5,0
11,5,3,0
12,5,3,0
14,5,2,0
Timeslot 7
0,6,7,1
1,6,8,1
2,6,6,1
3,6,3,0
4,6,4,0
5,6,4,1
6,6,4,1
7,6,2,0
8,6,2,1
9,6,2,0
Objective Function value: 1509



Incumbent 6
party,timeslot,party_size,seated
Timeslot 1
0,0,7,0
1,0,7,0
2,0,5,1
3,0,5,0
4,0,5,1
9,0,4,0
5,0,5,0
6,0,3,0
7,0,4,1
8,0,3,1
Timeslot 2
0,1,7,1
1,1,8,1
4,1,5,1
5,1,5,1
7,1,4,1
3,1,5,0
2,1,5,0
6,1,6,0
8,1,4,0
9,1,3,0
10,1,2,0
Timeslot 3
0,2,8,1
1,2,7,1
2,2,7,0
3,2,8,1
4,2,7,1
10,2,2,1
5,2,6,0
6,2,6,0
7,2,5,0
8,2,3,0
9,2,4,1
11,2,2,0
12,2,2,0
Timeslot 4
0,3,8,1
1,3,8,0
2,3,8,1
3,3,5,0
4,3,5,1
5,3,5,1
6,3,5,1
7,3,6,0
8,3,5,0
9,3,5,0
10,3,6,0
11,3,4,0
12,3,3,0
13,3,4,1
14,3,4,0
Timeslot 5
0,4,8,1
1,4,8,1
2,4,7,0
3,4,7,1
4,4,7,0
15,4,2,1
5,4,5,0
6,4,5,0
7,4,5,0
8,4,6,0
9,4,5,0
10,4,6,0
11,4,5,1
12,4,5,0
13,4,6,0
14,4,4,1
Timeslot 6
0,5,7,1
3,5,8,0
4,5,7,1
13,5,2,1
7,5,6,1
2,5,7,0
1,5,7,0
5,5,8,0
6,5,8,0
8,5,5,0
9,5,5,1
10,5,5,0
11,5,3,0
12,5,3,0
14,5,2,0
Timeslot 7
0,6,7,1
1,6,8,1
2,6,6,1
3,6,3,0
4,6,4,0
5,6,4,1
6,6,4,1
7,6,2,0
8,6,2,1
9,6,2,0
Objective Function value: 1422



Incumbent 7
party,timeslot,party_size,seated
Timeslot 1
1,0,7,0
2,0,5,1
4,0,5,1
8,0,3,1
7,0,4,1
0,0,7,0
3,0,5,0
9,0,4,0
5,0,5,0
6,0,3,0
Timeslot 2
0,1,7,1
1,1,8,1
4,1,5,1
5,1,5,1
7,1,4,1
3,1,5,0
2,1,5,0
6,1,6,0
8,1,4,0
9,1,3,0
10,1,2,0
Timeslot 3
0,2,8,1
1,2,7,1
2,2,7,0
3,2,8,1
4,2,7,1
10,2,2,1
5,2,6,0
6,2,6,0
7,2,5,0
8,2,3,0
9,2,4,1
11,2,2,0
12,2,2,0
Timeslot 4
0,3,8,1
1,3,8,0
2,3,8,1
4,3,5,1
5,3,5,1
14,3,4,0
3,3,5,0
6,3,5,1
7,3,6,0
8,3,5,0
9,3,5,0
10,3,6,0
11,3,4,0
12,3,3,0
13,3,4,1
Timeslot 5
0,4,8,1
1,4,8,1
2,4,7,0
3,4,7,1
15,4,2,1
14,4,4,1
4,4,7,0
5,4,5,0
6,4,5,0
7,4,5,0
8,4,6,0
9,4,5,0
10,4,6,0
11,4,5,1
12,4,5,0
13,4,6,0
Timeslot 6
0,5,7,1
3,5,8,0
4,5,7,1
13,5,2,1
7,5,6,1
2,5,7,0
1,5,7,0
5,5,8,0
6,5,8,0
8,5,5,0
9,5,5,1
10,5,5,0
11,5,3,0
12,5,3,0
14,5,2,0
Timeslot 7
0,6,7,1
1,6,8,1
2,6,6,1
3,6,3,0
4,6,4,0
5,6,4,1
6,6,4,1
7,6,2,0
8,6,2,1
9,6,2,0
Objective Function value: 1392



Incumbent 8
party,timeslot,party_size,seated
Timeslot 1
0,0,7,0
1,0,7,0
2,0,5,1
3,0,5,0
4,0,5,1
9,0,4,0
5,0,5,0
6,0,3,0
7,0,4,1
8,0,3,1
Timeslot 2
0,1,7,1
1,1,8,1
4,1,5,1
5,1,5,1
7,1,4,1
3,1,5,0
2,1,5,0
6,1,6,0
8,1,4,0
9,1,3,0
10,1,2,0
Timeslot 3
0,2,8,1
1,2,7,1
2,2,7,0
3,2,8,1
4,2,7,1
10,2,2,1
5,2,6,0
6,2,6,0
7,2,5,0
8,2,3,0
9,2,4,1
11,2,2,0
12,2,2,0
Timeslot 4
0,3,8,1
1,3,8,0
2,3,8,1
4,3,5,1
5,3,5,1
14,3,4,0
3,3,5,0
6,3,5,1
7,3,6,0
8,3,5,0
9,3,5,0
10,3,6,0
11,3,4,0
12,3,3,0
13,3,4,1
Timeslot 5
0,4,8,1
1,4,8,1
2,4,7,0
3,4,7,1
4,4,7,0
15,4,2,1
5,4,5,0
6,4,5,0
7,4,5,0
8,4,6,0
9,4,5,0
10,4,6,0
11,4,5,1
12,4,5,0
13,4,6,0
14,4,4,1
Timeslot 6
0,5,7,1
3,5,8,0
4,5,7,1
13,5,2,1
7,5,6,1
2,5,7,0
1,5,7,0
5,5,8,0
6,5,8,0
8,5,5,0
9,5,5,1
10,5,5,0
11,5,3,0
12,5,3,0
14,5,2,0
Timeslot 7
0,6,7,1
1,6,8,1
2,6,6,1
3,6,3,0
4,6,4,0
5,6,4,1
6,6,4,1
7,6,2,0
8,6,2,1
9,6,2,0
Objective Function value: 1301



Incumbent 9
party,timeslot,party_size,seated
Timeslot 1
2,0,5,1
4,0,5,1
8,0,3,1
7,0,4,1
1,0,7,0
0,0,7,0
3,0,5,0
9,0,4,0
5,0,5,0
6,0,3,0
Timeslot 2
0,1,7,1
1,1,8,1
4,1,5,1
5,1,5,1
7,1,4,1
3,1,5,0
2,1,5,0
6,1,6,0
8,1,4,0
9,1,3,0
10,1,2,0
Timeslot 3
0,2,8,1
1,2,7,1
3,2,8,1
4,2,7,1
10,2,2,1
9,2,4,1
2,2,7,0
5,2,6,0
6,2,6,0
7,2,5,0
8,2,3,0
11,2,2,0
12,2,2,0
Timeslot 4
0,3,8,1
2,3,8,1
4,3,5,1
5,3,5,1
13,3,4,1
6,3,5,1
1,3,8,0
14,3,4,0
3,3,5,0
7,3,6,0
8,3,5,0
9,3,5,0
10,3,6,0
11,3,4,0
12,3,3,0
Timeslot 5
0,4,8,1
1,4,8,1
3,4,7,1
15,4,2,1
14,4,4,1
11,4,5,1
6,4,5,0
2,4,7,0
4,4,7,0
5,4,5,0
7,4,5,0
8,4,6,0
9,4,5,0
10,4,6,0
12,4,5,0
13,4,6,0
Timeslot 6
0,5,7,1
4,5,7,1
13,5,2,1
7,5,6,1
9,5,5,1
3,5,8,0
2,5,7,0
1,5,7,0
5,5,8,0
6,5,8,0
8,5,5,0
10,5,5,0
11,5,3,0
12,5,3,0
14,5,2,0
Timeslot 7
0,6,7,1
1,6,8,1
2,6,6,1
3,6,3,0
4,6,4,0
5,6,4,1
6,6,4,1
7,6,2,0
8,6,2,1
9,6,2,0
Objective Function value: 1421



Incumbent 10
party,timeslot,party_size,seated
Timeslot 1
2,0,5,1
4,0,5,1
8,0,3,1
7,0,4,1
1,0,7,0
0,0,7,0
3,0,5,0
9,0,4,0
5,0,5,0
6,0,3,0
Timeslot 2
0,1,7,1
1,1,8,1
4,1,5,1
5,1,5,1
7,1,4,1
3,1,5,0
2,1,5,0
6,1,6,0
8,1,4,0
9,1,3,0
10,1,2,0
Timeslot 3
0,2,8,1
1,2,7,1
2,2,7,0
3,2,8,1
4,2,7,1
10,2,2,1
5,2,6,0
6,2,6,0
7,2,5,0
8,2,3,0
9,2,4,1
11,2,2,0
12,2,2,0
Timeslot 4
0,3,8,1
1,3,8,0
2,3,8,1
4,3,5,1
5,3,5,1
14,3,4,0
3,3,5,0
6,3,5,1
7,3,6,0
8,3,5,0
9,3,5,0
10,3,6,0
11,3,4,0
12,3,3,0
13,3,4,1
Timeslot 5
0,4,8,1
1,4,8,1
2,4,7,0
3,4,7,1
15,4,2,1
14,4,4,1
4,4,7,0
5,4,5,0
6,4,5,0
7,4,5,0
8,4,6,0
9,4,5,0
10,4,6,0
11,4,5,1
12,4,5,0
13,4,6,0
Timeslot 6
0,5,7,1
3,5,8,0
4,5,7,1
13,5,2,1
7,5,6,1
2,5,7,0
1,5,7,0
5,5,8,0
6,5,8,0
8,5,5,0
9,5,5,1
10,5,5,0
11,5,3,0
12,5,3,0
14,5,2,0
Timeslot 7
0,6,7,1
1,6,8,1
2,6,6,1
3,6,3,0
4,6,4,0
5,6,4,1
6,6,4,1
7,6,2,0
8,6,2,1
9,6,2,0
Objective Function value: 1352



Incumbent 11
party,timeslot,party_size,seated
Timeslot 1
2,0,5,1
4,0,5,1
8,0,3,1
7,0,4,1
1,0,7,0
0,0,7,0
3,0,5,0
9,0,4,0
5,0,5,0
6,0,3,0
Timeslot 2
0,1,7,1
1,1,8,1
4,1,5,1
5,1,5,1
7,1,4,1
3,1,5,0
2,1,5,0
6,1,6,0
8,1,4,0
9,1,3,0
10,1,2,0
Timeslot 3
0,2,8,1
1,2,7,1
2,2,7,0
3,2,8,1
4,2,7,1
10,2,2,1
5,2,6,0
6,2,6,0
7,2,5,0
8,2,3,0
9,2,4,1
11,2,2,0
12,2,2,0
Timeslot 4
0,3,8,1
2,3,8,1
4,3,5,1
5,3,5,1
13,3,4,1
6,3,5,1
1,3,8,0
14,3,4,0
3,3,5,0
7,3,6,0
8,3,5,0
9,3,5,0
10,3,6,0
11,3,4,0
12,3,3,0
Timeslot 5
0,4,8,1
1,4,8,1
3,4,7,1
15,4,2,1
14,4,4,1
6,4,5,0
2,4,7,0
4,4,7,0
5,4,5,0
7,4,5,0
8,4,6,0
9,4,5,0
10,4,6,0
11,4,5,1
12,4,5,0
13,4,6,0
Timeslot 6
0,5,7,1
4,5,7,1
13,5,2,1
7,5,6,1
9,5,5,1
3,5,8,0
2,5,7,0
1,5,7,0
5,5,8,0
6,5,8,0
8,5,5,0
10,5,5,0
11,5,3,0
12,5,3,0
14,5,2,0
Timeslot 7
0,6,7,1
1,6,8,1
2,6,6,1
3,6,3,0
4,6,4,0
5,6,4,1
6,6,4,1
7,6,2,0
8,6,2,1
9,6,2,0
Objective Function value: 1352



Incumbent 12
party,timeslot,party_size,seated
Timeslot 1
2,0,5,1
4,0,5,1
8,0,3,1
7,0,4,1
1,0,7,0
0,0,7,0
3,0,5,0
9,0,4,0
5,0,5,0
6,0,3,0
Timeslot 2
0,1,7,1
1,1,8,1
4,1,5,1
5,1,5,1
7,1,4,1
3,1,5,0
2,1,5,0
6,1,6,0
8,1,4,0
9,1,3,0
10,1,2,0
Timeslot 3
0,2,8,1
1,2,7,1
3,2,8,1
4,2,7,1
10,2,2,1
9,2,4,1
2,2,7,0
5,2,6,0
6,2,6,0
7,2,5,0
8,2,3,0
11,2,2,0
12,2,2,0
Timeslot 4
0,3,8,1
2,3,8,1
4,3,5,1
5,3,5,1
13,3,4,1
6,3,5,1
1,3,8,0
14,3,4,0
3,3,5,0
7,3,6,0
8,3,5,0
9,3,5,0
10,3,6,0
11,3,4,0
12,3,3,0
Timeslot 5
0,4,8,1
1,4,8,1
3,4,7,1
15,4,2,1
14,4,4,1
11,4,5,1
6,4,5,0
2,4,7,0
4,4,7,0
5,4,5,0
7,4,5,0
8,4,6,0
9,4,5,0
10,4,6,0
12,4,5,0
13,4,6,0
Timeslot 6
0,5,7,1
4,5,7,1
13,5,2,1
7,5,6,1
9,5,5,1
3,5,8,0
2,5,7,0
1,5,7,0
5,5,8,0
6,5,8,0
8,5,5,0
10,5,5,0
11,5,3,0
12,5,3,0
14,5,2,0
Timeslot 7
0,6,7,1
1,6,8,1
2,6,6,1
4,6,4,0
5,6,4,1
6,6,4,1
8,6,2,1
3,6,3,0
7,6,2,0
9,6,2,0
Objective Function value: 1353



Incumbent 13
party,timeslot,party_size,seated
Timeslot 1
2,0,5,1
4,0,5,1
8,0,3,1
7,0,4,1
1,0,7,0
0,0,7,0
3,0,5,0
9,0,4,0
5,0,5,0
6,0,3,0
Timeslot 2
0,1,7,1
1,1,8,1
4,1,5,1
5,1,5,1
7,1,4,1
3,1,5,0
2,1,5,0
6,1,6,0
8,1,4,0
9,1,3,0
10,1,2,0
Timeslot 3
0,2,8,1
1,2,7,1
3,2,8,1
4,2,7,1
10,2,2,1
9,2,4,1
2,2,7,0
5,2,6,0
6,2,6,0
7,2,5,0
8,2,3,0
11,2,2,0
12,2,2,0
Timeslot 4
0,3,8,1
2,3,8,1
4,3,5,1
5,3,5,1
13,3,4,1
6,3,5,1
1,3,8,0
14,3,4,0
3,3,5,0
7,3,6,0
8,3,5,0
9,3,5,0
10,3,6,0
11,3,4,0
12,3,3,0
Timeslot 5
0,4,8,1
1,4,8,1
3,4,7,1
15,4,2,1
14,4,4,1
11,4,5,1
6,4,5,0
2,4,7,0
4,4,7,0
5,4,5,0
7,4,5,0
8,4,6,0
9,4,5,0
10,4,6,0
12,4,5,0
13,4,6,0
Timeslot 6
0,5,7,1
4,5,7,1
13,5,2,1
7,5,6,1
9,5,5,1
3,5,8,0
2,5,7,0
1,5,7,0
5,5,8,0
6,5,8,0
8,5,5,0
10,5,5,0
11,5,3,0
12,5,3,0
14,5,2,0
Timeslot 7
0,6,7,1
1,6,8,1
2,6,6,1
5,6,4,1
6,6,4,1
8,6,2,1
4,6,4,0
3,6,3,0
7,6,2,0
9,6,2,0
Objective Function value: 1422



